"type","category","service_id","business_id","sender","recipient","created","completed","expired","status","amount"
"1","2","0","63","stark","mrgenfi","2019-01-15 16:00:25","2019-01-15 16:00:25","0","1","1.00000000"
"1","2","0","63","stark","mrgenfi","2019-01-15 16:11:15","2019-01-15 16:11:15","0","1","1.00000000"
"1","2","0","63","stark","mrgenfi","2019-01-15 16:11:41","2019-01-15 16:11:41","0","1","1.00000000"
"1","2","0","63","stark","mrgenfi","2019-01-17 17:00:48","2019-01-17 17:00:48","0","1","1.00000000"
"1","2","0","63","stark","mrgenfi","2019-01-29 14:42:21","2019-01-29 14:42:21","0","1","12.00000000"
"1","2","0","63","stark","mrgenfi","2019-02-12 14:58:54","2019-02-12 14:58:55","0","1","1.00000000"
"1","2","0","63","stark","mrgenfi","2019-02-12 15:04:13","2019-02-12 15:04:13","0","1","1.00000000"
"1","2","0","63","stark","mrgenfi","2019-02-12 15:04:35","2019-02-12 15:04:35","0","1","1.34000000"
"1","2","0","63","stark","mrgenfi","2019-02-13 13:55:18","2019-02-13 13:55:18","0","1","122.00000000"
"1","2","0","63","stark","mrgenfi","2019-02-22 13:07:19","2019-02-22 13:07:19","0","1","1.34000000"
"1","2","0","63","stark","mrgenfi","2019-03-13 13:42:25","2019-03-13 13:42:25","0","1","1.23000000"
"1","2","0","63","stark","mrgenfi","2019-03-14 13:49:57","2019-03-14 13:49:57","0","1","1.00000000"
"1","2","0","63","stark","mrgenfi","2019-03-14 13:52:27","2019-03-14 13:52:28","0","1","1.00000000"
"1","2","0","63","stark","mrgenfi","2019-03-14 13:55:22","2019-03-14 13:55:22","0","1","1.00000000"
"1","2","0","63","stark","mrgenfi","2019-03-14 13:56:06","2019-03-14 13:56:06","0","1","4.00000000"
"1","2","0","63","stark","mrgenfi","2019-03-15 15:39:49","2019-03-15 15:39:49","0","1","1.00000000"
"3","1","0","63","stark","mrgenfi","2019-04-04 13:13:18","2019-04-04 13:19:13","0","1","4.00000000"
"1","2","0","63","stark101","mrgenfi","2019-04-04 13:27:12","2019-04-04 13:27:12","0","1","20.00000000"
"3","1","0","63","stark","mrgenfi","2019-04-04 13:30:01","2019-04-17 17:49:18","0","1","2.00000000"
"3","1","0","63","stark","mrgenfi","2019-04-04 13:33:22","2019-04-04 13:48:31","0","2","2.00000000"
"3","1","0","63","stark","mrgenfi","2019-04-04 13:51:45","2019-04-04 13:54:48","0","2","2.00000000"
"1","2","0","31029","mazzumaexchange","stark","2019-04-09 15:57:51","2019-04-09 15:57:52","0","1","1.00000000"
"3","1","0","63","stark","mrgenfi","2019-04-18 12:05:00","2019-04-18 12:09:18","0","1","2.00000000"
"3","1","0","63","stark","mrgenfi","2019-04-18 12:22:23","2019-04-18 12:24:05","0","1","2.00000000"
"3","1","0","63","stark","mrgenfi","2019-04-18 12:28:12","2019-04-18 12:28:41","0","2","2.00000000"
"3","1","0","63","stark","mrgenfi","2019-04-18 12:38:20","2019-04-18 12:38:59","0","2","2.00000000"
"3","1","0","63","stark","mrgenfi","2019-04-18 12:52:01","2019-04-18 12:54:14","0","2","2.00000000"
"3","1","0","63","stark","mrgenfi","2019-04-18 12:54:30","2019-04-18 12:54:49","0","1","2.00000000"
"3","1","0","63","stark","mrgenfi","2019-04-18 15:14:51","2019-04-18 15:27:14","0","2","2.00000000"
"3","1","0","63","stark","mrgenfi","2019-04-23 12:56:50","2019-04-23 19:20:03","0","2","2.00000000"
"1","2","0","63","stark","mrgenfi","2019-04-23 16:37:49","2019-04-23 16:37:49","0","1","1.00000000"
"3","1","0","63",,"mrgenfi","2019-04-23 17:08:59","2019-04-23 19:19:48","0","2","1.00000000"
"3","1","0","63",,"stark","2019-04-23 20:34:31","2019-04-24 11:48:09","0","2","1.00000000"
"3","1","0","63","mrgenfi","stark","2019-04-23 20:38:01","2019-04-24 11:48:01","0","2","1.00000000"
"1","2","0","142","kmanu","stark","2019-04-29 16:51:37","2019-04-29 16:51:38","0","1","1.00000000"
"3","1","0","142","stark","kmanu","2019-05-02 15:51:48","2019-05-02 15:51:48","0","0","1.00000000"
"3","1","0","142","stark","kmanu","2019-05-02 15:52:17","2019-05-02 15:52:17","0","0","1.00000000"
"3","1","0","142","stark","kmanu","2019-05-02 15:57:50","2019-05-02 15:57:51","0","0","1.00000000"
"3","1","0","142","dfghjj","kmanu","2019-05-02 16:05:40","2019-05-02 16:05:40","0","0","1.00000000"
"3","1","0","142","sfgffff","kmanu","2019-05-02 16:18:40","2019-05-02 16:18:40","0","0","1.00000000"
"3","1","0","142","stark","kmanu","2019-05-02 16:24:32","2019-05-30 18:08:22","0","2","999999999.99000000"
"3","1","0","142","sth","kmanu","2019-05-02 16:30:32","2019-05-02 16:30:32","0","0","1.00000000"
"1","2","0","142","kmanu","stark","2019-05-07 10:55:46","2019-05-07 10:55:46","0","1","0.10000000"
"1","2","0","142","kmanu","stark","2019-05-07 10:57:19","2019-05-07 10:57:20","0","1","0.10000000"
"3","1","0","142","stark","kmanu","2019-05-08 17:27:37","2019-05-30 10:10:21","0","2","0.10000000"
"3","1","0","142","stark","kmanu","2019-05-14 16:57:11","2019-05-30 10:10:45","0","2","1.00000000"
"3","1","0","142","stark","kmanu","2019-05-14 16:57:23","2019-05-30 10:10:33","0","2","1.00000000"
"1","2","0","63","stark","mrgenfi","2019-05-29 13:48:16","2019-05-29 13:48:16","0","1","1.00000000"
"1","2","0","63","stark","mrgenfi","2019-05-29 13:48:33","2019-05-29 13:48:33","0","1","1.00000000"
"1","2","0","63","stark","mrgenfi","2019-05-29 13:50:17","2019-05-29 13:50:17","0","1","1.00000000"
"3","1","0","142","stark","kmanu","2019-05-29 13:51:07","2019-05-30 10:10:55","0","2","1.00000000"
"1","2","0","63","stark","mrgenfi","2019-05-29 13:52:37","2019-05-29 13:52:37","0","1","1.00000000"
"1","2","0","63","stark","mrgenfi","2019-05-29 13:56:05","2019-05-29 13:56:05","0","1","1.00000000"
"1","2","0","63","stark","mrgenfi","2019-05-29 13:57:12","2019-05-29 13:57:12","0","1","1.00000000"
"1","2","0","63","stark","mrgenfi","2019-05-29 14:09:09","2019-05-29 14:09:09","0","1","1.00000000"
"1","2","0","63","stark","mrgenfi","2019-05-29 14:21:26","2019-05-29 14:21:26","0","1","2.00000000"
"3","1","0","63","mrgenfi","stark","2019-05-29 14:22:23","2019-05-29 14:22:23","0","0","1.00000000"
"3","1","0","63","mrgenfi","stark","2019-05-29 14:25:08","2019-06-02 15:55:25","0","2","1.00000000"
"3","1","0","142","stark","kmanu","2019-05-30 11:17:22","2019-05-31 13:04:02","0","2","1.00000000"
"3","1","0","142","stark","kmanu","2019-05-30 12:13:31","2019-05-31 13:04:33","0","2","1.00000000"
"3","1","0","142","stark","kmanu","2019-05-30 14:45:11","2019-05-31 13:04:17","0","2","1.00000000"
"3","1","0","63","kmanu","stark","2019-05-30 17:20:30","2019-06-10 11:47:58","0","2","1.00000000"
"3","1","0","63","kmanu","stark","2019-05-31 13:21:16","2019-06-07 14:38:00","0","2","1.00000000"
"3","1","0","142","stark","kmanu","2019-06-03 17:44:25","2019-06-03 17:44:26","0","0","1.00000000"
"3","1","0","63","mrgenfi","stark","2019-06-04 14:00:05","2019-06-04 14:20:50","0","1","1.00000000"
"3","1","0","142","stark","kmanu","2019-06-07 15:23:33","2019-06-07 15:25:16","0","1","1.00000000"
"3","1","0","142","kmanu","kmanu","2019-06-11 14:06:10","2019-06-11 14:06:11","0","0","0.00000000"
"3","1","0","142","kmanu","kmanu","2019-06-11 16:06:51","2019-06-11 16:06:51","0","0","1.00000000"
"1","2","0","63","stark","mrgenfi","2019-06-20 17:16:03","2019-06-20 17:16:03","0","1","2.00000000"
"1","2","0","63","stark","mrgenfi","2019-06-20 17:17:52","2019-06-20 17:17:52","0","1","4.00000000"
"1","2","0","63","stark","mazzumaexchange","2019-06-20 17:48:05","2019-06-20 17:48:05","0","1","4.00000000"
"1","2","0","31029","mazzumaexchange","stark","2019-06-20 17:48:10","2019-06-20 17:48:10","0","1","1.00000000"
"1","2","0","63","stark","mazzumaexchange","2019-06-20 18:19:24","2019-06-20 18:19:24","0","1","2.00000000"
"1","2","0","63","stark","mazzumaexchange","2019-06-20 18:22:41","2019-06-20 18:22:41","0","1","2.00000000"
"1","2","0","63","stark","mazzumaexchange","2019-06-20 18:23:24","2019-06-20 18:23:24","0","1","1.00000000"
"1","2","0","63","stark","mazzumaexchange","2019-06-21 15:39:31","2019-06-21 15:39:31","0","1","1.00000000"
"1","2","0","31029","mazzumaexchange","stark","2019-06-21 15:40:45","2019-06-21 15:40:45","0","1","1.00000000"
"3","1","0","63","mrgenfi","stark","2019-06-27 14:19:18","2019-06-27 16:45:24","0","1","1.00000000"
"3","1","0","142","kmanu","kmanu","2019-06-27 14:35:40","2019-06-27 14:35:40","0","0","1.00000000"
"3","1","0","63","kmanu","stark","2019-06-28 13:26:06","2019-06-28 15:35:20","0","2","0.20000000"
"3","1","0","63","kmanu","stark","2019-06-28 15:33:23","2019-06-28 15:36:25","0","1","0.50000000"
"3","1","0","63","kmanu","stark","2019-06-28 15:34:21","2019-06-28 16:07:23","0","2","0.30000000"
"3","1","0","142","stark","kmanu","2019-06-28 16:16:40","2019-06-28 16:18:06","0","2","1.00000000"
"1","2","0","141","mrgenfi","stark","2019-07-02 12:41:33","2019-07-02 12:41:33","0","1","1.00000000"
"1","2","0","31029","mazzumaexchange","stark","2019-07-08 12:22:01","2019-07-08 12:22:02","0","1","1.00000000"
"1","2","0","63","stark","mazzumaexchange","2019-07-08 12:23:43","2019-07-08 12:23:44","0","1","200.00000000"
"1","2","0","63","stark","kmanu","2019-07-08 17:19:54","2019-07-08 17:19:54","0","1","22.00000000"
"1","2","0","31029","mazzumaexchange","stark","2019-07-09 13:20:05","2019-07-09 13:20:06","0","1","0.00000000"
"1","2","0","31029","mazzumaexchange","stark","2019-07-09 13:20:32","2019-07-09 13:20:32","0","1","0.00000000"
"1","2","0","31029","mazzumaexchange","stark","2019-07-09 13:24:03","2019-07-09 13:24:04","0","1","0.00000100"
"1","2","0","31029","mazzumaexchange","stark","2019-07-09 13:25:31","2019-07-09 13:25:31","0","1","0.00000010"
"1","2","0","31029","mazzumaexchange","stark","2019-07-09 13:25:36","2019-07-09 13:25:37","0","1","0.00000001"
"1","2","0","31029","mazzumaexchange","stark","2019-07-09 13:26:01","2019-07-09 13:26:02","0","1","0.00000001"
"1","2","0","31029","mazzumaexchange","stark","2019-07-09 15:52:02","2019-07-09 15:52:02","0","1","1.33000000"
"1","2","0","31029","mazzumaexchange","stark","2019-07-09 15:56:34","2019-07-09 15:56:35","0","1","1.33000000"
"1","2","0","63","stark","mazzumaexchange","2019-07-09 15:58:48","2019-07-09 15:58:49","0","1","1.00888000"
"1","2","0","63","stark","mazzumaexchange","2019-07-09 15:59:23","2019-07-09 15:59:24","0","1","0.34400888"
"1","2","0","63","stark","mazzumaexchange","2019-07-09 16:02:00","2019-07-09 16:02:00","0","1","0.34400888"
"1","2","0","63","stark","mazzumaexchange","2019-07-11 15:20:06","2019-07-11 15:20:06","0","2","999.99999999"
"1","2","0","63","stark","mazzumaexchange","2019-07-11 15:21:33","2019-07-11 15:21:34","0","1","2143.23000000"
"1","2","0","63","stark","mazzumaexchange","2019-07-12 13:37:56","2019-07-12 13:37:56","0","1","123.00000000"
"1","2","0","142","kmanu","mazzumaexchange","2019-07-12 14:43:39","2019-07-12 14:43:39","0","1","1.00000000"
